Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.06,213.09,0.00,5.95,42.23,0.25,1.00,2385.72,400861.57,0.92,70425.00,70425.00
q101000,0.05,217.41,0.00,6.07,54.91,0.33,1.00,2434.82,401290.44,0.93,71125.00,71125.00
q102000,0.06,221.94,0.00,6.13,54.74,0.34,1.00,2481.30,404451.86,0.94,71829.00,71829.00
q103000,0.02,226.43,0.00,6.23,54.60,0.34,1.00,2531.36,406026.73,0.95,72517.00,72517.00
q104000,0.02,231.21,0.00,6.37,54.62,0.35,1.00,2578.75,405018.92,0.96,73251.00,73251.00
q105000,0.05,235.17,0.00,6.50,54.89,0.36,1.00,2629.78,404713.99,0.96,73946.00,73946.00
q106000,0.02,240.48,0.00,6.58,54.75,0.36,1.00,2681.31,407432.23,0.97,74661.00,74661.00
q107000,0.02,245.49,0.00,7.19,54.76,0.39,1.00,2730.07,379575.30,0.98,75383.00,75383.00
q108000,0.05,250.56,0.00,7.32,54.69,0.40,1.00,2782.57,380055.67,0.99,76101.00,76101.00
q109000,0.02,254.95,0.00,7.48,54.67,0.41,1.00,2835.58,379062.31,1.00,76814.00,76814.00
q110000,0.02,257.28,0.00,7.02,54.61,0.38,1.00,2885.72,411276.35,1.01,77520.00,77520.00
q111000,0.03,263.89,0.00,7.15,54.28,0.39,1.00,2939.69,411058.91,1.02,78266.00,78266.00
q112000,0.02,271.96,0.00,7.24,53.06,0.38,1.00,2990.74,412942.73,1.03,78954.00,78954.00
q113000,0.02,274.65,0.00,7.39,53.02,0.39,1.00,3045.67,412134.52,1.04,79660.00,79660.00
q114000,0.05,280.59,0.00,7.47,53.09,0.40,1.00,3101.11,415197.84,1.05,80359.00,80359.00
q115000,0.02,285.33,0.00,7.62,54.03,0.41,1.00,3153.54,413583.58,1.06,81067.00,81067.00
q116000,0.03,292.78,0.00,7.78,51.26,0.40,1.00,3209.94,412377.58,1.07,81791.00,81791.00
q117000,0.02,296.54,0.00,7.87,52.32,0.41,1.00,3266.85,414970.14,1.08,82497.00,82497.00
q118000,0.03,302.33,0.00,7.93,50.99,0.40,1.00,3320.66,418666.71,1.08,83200.00,83200.00
q119000,0.02,307.91,0.00,8.05,52.19,0.42,1.00,3378.53,419432.65,1.09,83889.00,83889.00
q120000,0.02,313.00,0.00,8.27,51.27,0.42,1.00,3433.24,415019.46,1.10,84645.00,84645.00
q121000,0.02,319.15,0.00,8.37,51.14,0.43,1.00,3492.09,417118.30,1.11,85351.00,85351.00
q122000,0.02,324.41,0.00,8.52,51.52,0.44,1.00,3551.43,417031.08,1.12,86091.00,86091.00
q123000,0.02,332.68,0.00,8.63,51.11,0.44,1.00,3607.52,417996.71,1.13,86824.00,86824.00
q124000,0.03,337.25,0.00,8.74,51.09,0.45,1.00,3667.83,419684.64,1.14,87519.00,87519.00
q125000,0.02,341.44,0.00,8.98,50.84,0.46,1.00,3728.64,415217.08,1.15,88236.00,88236.00
q126000,0.05,354.78,0.00,9.11,50.89,0.46,1.00,3786.11,415781.89,1.16,88945.00,88945.00
q127000,0.02,352.64,0.00,9.33,51.32,0.48,1.00,3847.89,412466.23,1.17,89660.00,89660.00
q128000,0.02,358.04,0.00,10.08,51.04,0.51,1.00,3906.26,387662.09,1.18,90354.00,90354.00
q129000,0.02,364.93,0.00,11.81,51.53,0.61,1.00,3969.01,336058.52,1.19,91055.00,91055.00
q130000,0.02,370.91,0.00,10.41,51.37,0.53,1.00,4032.27,387475.99,1.20,91791.00,91791.00
q131000,0.02,378.45,0.00,9.87,51.14,0.50,1.00,4092.02,414591.39,1.21,92480.00,92480.00
q132000,0.02,384.50,0.00,10.00,51.19,0.51,1.00,4156.23,415665.12,1.21,93166.00,93166.00
q133000,0.03,390.85,0.00,10.23,51.38,0.53,1.00,4220.95,412504.87,1.22,93874.00,93874.00
q134000,0.02,396.68,0.00,10.29,50.88,0.52,1.00,4282.08,416141.91,1.23,94596.00,94596.00
q135000,0.02,402.55,0.00,10.55,51.08,0.54,1.00,4347.77,412247.78,1.24,95316.00,95316.00
q136000,0.03,407.91,0.00,10.68,51.81,0.55,1.00,4409.81,412845.27,1.25,96044.00,96044.00
q137000,0.03,416.25,0.00,10.94,51.28,0.56,1.00,4476.46,409146.07,1.26,96711.00,96711.00
q138000,0.03,423.47,0.00,11.04,51.54,0.57,1.00,4543.62,411578.34,1.27,97397.00,97397.00
q139000,0.03,429.63,0.00,11.08,51.52,0.57,1.00,4607.03,415760.09,1.28,98111.00,98111.00
q140000,0.02,436.47,0.00,11.28,51.13,0.58,1.00,4675.16,414648.36,1.29,98812.00,98812.00
q141000,0.02,442.22,0.00,11.47,51.47,0.59,1.00,4743.78,413726.12,1.30,99549.00,99549.00
q142000,0.02,448.49,0.00,11.81,51.64,0.61,1.00,4808.57,407144.18,1.31,100291.00,100291.00
q143000,0.02,454.47,0.00,11.96,51.50,0.62,1.00,4878.17,407806.18,1.32,101009.00,101009.00
q144000,0.02,460.86,0.00,12.07,51.44,0.62,1.00,4943.86,409549.47,1.32,101710.00,101710.00
q145000,0.02,468.99,0.00,12.27,51.78,0.64,1.00,5014.43,408723.77,1.33,102418.00,102418.00
q146000,0.02,474.34,0.00,12.40,51.65,0.64,1.00,5085.49,410073.21,1.34,103134.00,103134.00
q147000,0.02,482.58,0.00,12.58,51.68,0.65,1.00,5152.56,409681.61,1.35,103842.00,103842.00
q148000,0.02,489.91,0.00,12.79,51.70,0.66,1.00,5224.60,408363.60,1.36,104540.00,104540.00
q149000,0.02,497.96,0.00,13.04,51.83,0.68,1.00,5297.13,406269.53,1.37,105247.00,105247.00
q150000,0.02,503.54,0.00,14.35,51.75,0.74,1.00,5365.58,373923.90,1.38,105958.00,105958.00
q151000,0.05,511.96,0.00,14.50,51.90,0.75,1.00,5439.08,375005.55,1.39,106659.00,106659.00
