Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.39,217.29,0.00,7.07,143.91,1.04,1.00,2.33,331.33,0.92,0.00,70425.00
q101000,0.02,215.44,0.00,6.65,60.68,0.40,1.00,2.38,357.64,0.93,0.00,71125.00
q102000,0.02,220.37,0.00,6.76,59.99,0.41,1.00,2.42,358.64,0.94,0.00,71829.00
q103000,0.02,224.96,0.00,6.86,59.02,0.40,1.00,2.47,360.54,0.95,0.00,72517.00
q104000,0.05,229.53,0.00,7.01,59.17,0.41,1.00,2.52,359.38,0.96,0.00,73251.00
q105000,0.02,234.27,0.00,7.10,59.16,0.42,1.00,2.57,361.61,0.96,0.00,73946.00
q106000,0.03,238.70,0.00,7.25,59.46,0.43,1.00,2.62,361.22,0.97,0.00,74661.00
q107000,0.02,243.69,0.00,7.96,59.14,0.47,1.00,2.67,334.85,0.98,0.00,75383.00
q108000,0.02,248.61,0.00,8.05,58.85,0.47,1.00,2.72,337.43,0.99,0.00,76101.00
q109000,0.05,257.14,0.00,8.19,58.12,0.48,1.00,2.77,338.32,1.00,0.00,76814.00
q110000,0.02,263.09,0.00,7.71,58.57,0.45,1.00,2.82,365.58,1.01,0.00,77520.00
q111000,0.02,263.05,0.00,7.88,58.72,0.46,1.00,2.87,364.31,1.02,0.00,78266.00
q112000,0.02,268.68,0.00,7.97,58.03,0.46,1.00,2.92,366.52,1.03,0.00,78954.00
q113000,0.05,273.78,0.00,8.11,58.33,0.47,1.00,2.97,366.59,1.04,0.00,79660.00
q114000,0.02,279.22,0.00,8.26,56.65,0.47,1.00,3.03,366.79,1.05,0.00,80359.00
q115000,0.02,284.31,0.00,8.41,56.83,0.48,1.00,3.08,365.97,1.06,0.00,81067.00
q116000,0.02,289.47,0.00,8.56,56.67,0.48,1.00,3.13,366.25,1.07,0.00,81791.00
q117000,0.03,299.96,0.00,8.71,54.71,0.48,1.00,3.19,366.09,1.08,0.00,82497.00
q118000,0.02,303.02,0.00,8.81,54.77,0.48,1.00,3.24,367.98,1.08,0.00,83200.00
