Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.02,149.13,0.00,6.84,58.96,0.40,1.00,2.33,340.52,0.96,0.00,75817.00
q101000,0.02,150.23,0.00,6.94,58.34,0.40,1.00,2.38,342.55,0.97,0.00,76572.00
q102000,0.02,153.56,0.00,7.05,58.21,0.41,1.00,2.42,343.49,0.98,0.00,77307.00
q103000,0.03,159.00,0.00,7.19,57.98,0.42,1.00,2.47,343.62,0.99,0.00,78056.00
q104000,0.02,161.86,0.00,7.33,58.50,0.43,1.00,2.52,343.33,1.00,0.00,78829.00
q105000,0.02,163.16,0.00,7.46,58.53,0.44,1.00,2.57,344.35,1.01,0.00,79608.00
q106000,0.03,164.67,0.00,7.56,58.65,0.44,1.00,2.62,346.50,1.02,0.00,80385.00
q107000,0.02,167.86,0.00,8.30,58.35,0.48,1.00,2.67,321.11,1.03,0.00,81133.00
q108000,0.02,171.30,0.00,8.46,58.80,0.50,1.00,2.72,321.16,1.04,0.00,81895.00
q109000,0.02,175.32,0.00,8.55,58.22,0.50,1.00,2.77,323.87,1.05,0.00,82688.00
q110000,0.02,178.25,0.00,8.06,58.42,0.47,1.00,2.82,349.70,1.06,0.00,83477.00
q111000,0.02,182.18,0.00,8.20,58.01,0.48,1.00,2.87,350.03,1.07,0.00,84248.00
q112000,0.02,187.24,0.00,8.30,58.26,0.48,1.00,2.92,351.95,1.08,0.00,84982.00
q113000,0.02,187.34,0.00,8.46,58.18,0.49,1.00,2.97,351.59,1.08,0.00,85756.00
q114000,0.03,193.20,0.00,8.61,58.05,0.50,1.00,3.03,351.80,1.09,0.00,86510.00
q115000,0.02,195.00,0.00,8.71,58.08,0.51,1.00,3.08,353.55,1.10,0.00,87257.00
q116000,0.02,199.91,0.00,9.31,57.98,0.54,1.00,3.13,336.67,1.11,0.00,87996.00
q117000,0.02,202.72,0.00,9.42,57.70,0.54,1.00,3.19,338.67,1.12,0.00,88789.00
q118000,0.03,207.37,0.00,9.49,58.44,0.56,1.00,3.24,341.57,1.13,0.00,89508.00
q119000,0.02,216.82,0.00,9.66,57.23,0.55,1.00,3.30,341.53,1.14,0.00,90258.00
q120000,0.05,223.04,0.00,9.86,57.73,0.57,1.00,3.35,339.88,1.15,0.00,90989.00
q121000,0.02,222.64,0.00,10.00,57.65,0.58,1.00,3.41,340.96,1.16,0.00,91745.00
