Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.03,209.96,0.00,6.81,29.71,0.20,1.00,2.33,342.24,0.92,0.00,70425.00
q101000,0.05,212.42,0.00,6.93,53.60,0.37,1.00,2.38,342.96,0.93,0.00,71125.00
q102000,0.03,219.54,0.00,6.99,53.80,0.38,1.00,2.42,346.44,0.94,0.00,71829.00
q103000,0.02,215.14,0.00,7.13,53.48,0.38,1.00,2.47,346.51,0.95,0.00,72517.00
q104000,0.02,219.56,0.00,7.32,53.46,0.39,1.00,2.52,344.01,0.96,0.00,73251.00
q105000,0.02,224.10,0.00,7.41,53.12,0.39,1.00,2.57,346.70,0.96,0.00,73946.00
q106000,0.02,228.32,0.00,7.54,52.95,0.40,1.00,2.62,347.12,0.97,0.00,74661.00
q107000,0.03,239.63,0.00,8.05,53.04,0.43,1.00,2.67,331.32,0.98,0.00,75383.00
q108000,0.03,247.28,0.00,8.18,53.47,0.44,1.00,2.72,332.03,0.99,0.00,76101.00
q109000,0.02,247.00,0.00,8.30,53.39,0.44,1.00,2.77,333.43,1.00,0.00,76814.00
q110000,0.05,255.22,0.00,8.12,53.29,0.43,1.00,2.82,346.89,1.01,0.00,77520.00
q111000,0.02,261.23,0.00,8.21,53.32,0.44,1.00,2.87,349.50,1.02,0.00,78266.00
q112000,0.03,267.04,0.00,8.31,52.80,0.44,1.00,2.92,351.38,1.03,0.00,78954.00
q113000,0.02,267.21,0.00,8.43,53.50,0.45,1.00,2.97,352.65,1.04,0.00,79660.00
q114000,0.02,274.53,0.00,8.54,53.12,0.45,1.00,3.03,354.81,1.05,0.00,80359.00
q115000,0.02,282.46,0.00,8.78,52.46,0.46,1.00,3.08,350.72,1.06,0.00,81067.00
q116000,0.03,290.67,0.00,9.11,50.72,0.46,1.00,3.13,343.93,1.07,0.00,81791.00
q117000,0.02,295.31,0.00,9.22,51.46,0.47,1.00,3.19,345.87,1.08,0.00,82497.00
q118000,0.05,295.45,0.00,9.91,51.63,0.51,1.00,3.24,327.10,1.08,0.00,83200.00
q119000,0.03,297.91,0.00,10.09,49.47,0.50,1.00,3.30,326.83,1.09,0.00,83889.00
q120000,0.03,309.16,0.00,9.74,50.31,0.49,1.00,3.35,344.09,1.10,0.00,84645.00
q121000,0.03,315.81,0.00,9.91,49.91,0.49,1.00,3.41,344.14,1.11,0.00,85351.00
q122000,0.05,320.90,0.00,10.05,49.93,0.50,1.00,3.47,345.08,1.12,0.00,86091.00
q123000,0.06,323.45,0.00,10.11,49.93,0.51,1.00,3.52,348.33,1.13,0.00,86824.00
q124000,0.02,333.15,0.00,10.34,49.68,0.51,1.00,3.58,346.39,1.14,0.00,87519.00
q125000,0.02,336.21,0.00,10.42,49.73,0.52,1.00,3.64,349.45,1.15,0.00,88236.00
q126000,0.05,344.46,0.00,10.60,50.27,0.53,1.00,3.70,348.75,1.16,0.00,88945.00
q127000,0.02,349.29,0.00,10.79,49.92,0.54,1.00,3.76,348.18,1.17,0.00,89660.00
q128000,0.02,354.18,0.00,11.59,50.05,0.58,1.00,3.81,329.14,1.18,0.00,90354.00
q129000,0.03,361.22,0.00,11.78,49.95,0.59,1.00,3.88,329.02,1.19,0.00,91055.00
q130000,0.03,367.38,0.00,11.90,49.98,0.59,1.00,3.94,330.81,1.20,0.00,91791.00
q131000,0.02,368.51,0.00,11.34,49.98,0.57,1.00,4.00,352.47,1.21,0.00,92480.00
q132000,0.02,375.61,0.00,11.65,49.86,0.58,1.00,4.06,348.34,1.21,0.00,93166.00
q133000,0.02,386.61,0.00,11.86,50.18,0.59,1.00,4.12,347.51,1.22,0.00,93874.00
q134000,0.05,376.65,0.00,11.93,50.72,0.60,1.00,4.18,350.48,1.23,0.00,94596.00
q135000,0.03,382.45,0.00,12.03,50.18,0.60,1.00,4.25,352.91,1.24,0.00,95316.00
q136000,0.03,403.23,0.00,12.33,50.32,0.62,1.00,4.31,349.25,1.25,0.00,96044.00
q137000,0.02,405.93,0.00,12.52,50.21,0.63,1.00,4.37,349.29,1.26,0.00,96711.00
q138000,0.03,419.40,0.00,12.71,50.34,0.64,1.00,4.44,349.04,1.27,0.00,97397.00
q139000,0.02,425.38,0.00,13.60,50.41,0.69,1.00,4.50,330.92,1.28,0.00,98111.00
q140000,0.03,432.12,0.00,13.82,50.25,0.69,1.00,4.57,330.38,1.29,0.00,98812.00
q141000,0.03,433.36,0.00,14.01,50.24,0.70,1.00,4.63,330.64,1.30,0.00,99549.00
q142000,0.02,442.64,0.00,13.39,50.30,0.67,1.00,4.70,350.62,1.31,0.00,100291.00
q143000,0.03,450.32,0.00,13.64,50.25,0.69,1.00,4.76,349.27,1.32,0.00,101009.00
q144000,0.02,456.23,0.00,13.73,50.03,0.69,1.00,4.83,351.56,1.32,0.00,101710.00
q145000,0.02,464.24,0.00,13.97,50.32,0.70,1.00,4.90,350.53,1.33,0.00,102418.00
q146000,0.03,470.50,0.00,14.12,50.54,0.71,1.00,4.97,351.63,1.34,0.00,103134.00
q147000,0.02,464.08,0.00,14.40,50.32,0.72,1.00,5.03,349.49,1.35,0.00,103842.00
q148000,0.02,481.93,0.00,14.62,50.70,0.74,1.00,5.10,348.98,1.36,0.00,104540.00
q149000,0.04,491.00,0.00,14.84,50.69,0.75,1.00,5.17,348.55,1.37,0.00,105247.00
q150000,0.03,487.85,0.00,15.83,50.57,0.80,1.00,5.24,330.92,1.38,0.00,105958.00
q151000,0.02,511.02,0.00,16.00,50.76,0.81,1.00,5.31,332.00,1.39,0.00,106659.00
q152000,0.06,507.70,0.00,15.29,51.32,0.79,1.00,5.38,351.71,1.40,0.00,107394.00
q153000,0.02,516.18,0.00,15.48,50.82,0.79,1.00,5.45,352.28,1.41,0.00,108096.00
q154000,0.03,526.85,0.00,15.73,49.66,0.78,1.00,5.53,351.19,1.42,0.00,108809.00
q155000,0.02,534.83,0.00,15.74,50.79,0.80,1.00,5.59,355.45,1.43,0.00,109515.00
q156000,0.03,540.68,0.00,16.12,50.83,0.82,1.00,5.67,351.72,1.44,0.00,110230.00
q157000,0.03,554.73,0.00,16.34,49.74,0.81,1.00,5.74,351.45,1.45,0.00,110921.00
q158000,0.06,550.86,0.00,16.65,49.61,0.83,1.00,5.81,349.24,1.45,0.00,111613.00
q159000,0.02,549.41,0.00,16.83,50.79,0.85,1.00,5.89,349.95,1.46,0.00,112322.00
q160000,0.02,564.43,0.00,17.95,49.73,0.89,1.00,5.96,332.04,1.47,0.00,113047.00
