Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.03,145.29,0.00,6.89,58.60,0.40,1.00,2.33,337.90,0.96,0.00,75817.00
q101000,0.03,148.59,0.00,7.03,59.44,0.42,1.00,2.38,338.35,0.97,0.00,76572.00
q102000,0.03,153.44,0.00,7.18,58.83,0.42,1.00,2.42,337.58,0.98,0.00,77307.00
q103000,0.03,156.84,0.00,7.28,59.07,0.43,1.00,2.47,339.52,0.99,0.00,78056.00
q104000,0.03,159.14,0.00,7.43,58.67,0.44,1.00,2.52,339.01,1.00,0.00,78829.00
q105000,0.02,160.93,0.00,7.55,58.87,0.44,1.00,2.57,340.15,1.01,0.00,79608.00
q106000,0.02,165.48,0.00,7.69,58.62,0.45,1.00,2.62,340.61,1.02,0.00,80385.00
q107000,0.03,171.03,0.00,7.77,58.71,0.46,1.00,2.67,342.95,1.03,0.00,81133.00
q108000,0.03,173.97,0.00,7.89,58.65,0.46,1.00,2.72,344.47,1.04,0.00,81895.00
q109000,0.03,174.46,0.00,8.02,58.89,0.47,1.00,2.77,345.15,1.05,0.00,82688.00
q110000,0.02,178.84,0.00,8.27,58.69,0.49,1.00,2.82,340.60,1.06,0.00,83477.00
q111000,0.02,180.79,0.00,8.41,58.77,0.49,1.00,2.87,341.36,1.07,0.00,84248.00
q112000,0.02,185.39,0.00,8.55,58.59,0.50,1.00,2.92,341.52,1.08,0.00,84982.00
q113000,0.03,186.74,0.00,8.71,58.29,0.51,1.00,2.97,341.36,1.08,0.00,85756.00
q114000,0.03,191.34,0.00,8.87,58.28,0.52,1.00,3.03,341.46,1.09,0.00,86510.00
q115000,0.02,194.67,0.00,8.93,58.22,0.52,1.00,3.08,345.00,1.10,0.00,87257.00
q116000,0.03,206.04,0.00,8.82,58.08,0.51,1.00,3.13,355.47,1.11,0.00,87996.00
q117000,0.03,201.70,0.00,8.94,58.74,0.53,1.00,3.19,356.86,1.12,0.00,88789.00
q118000,0.04,209.55,0.00,8.99,58.16,0.52,1.00,3.24,360.90,1.13,0.00,89508.00
q119000,0.03,213.80,0.00,9.12,58.41,0.53,1.00,3.30,361.69,1.14,0.00,90258.00
q120000,0.03,213.76,0.00,9.34,57.96,0.54,1.00,3.35,358.99,1.15,0.00,90989.00
q121000,0.02,220.73,0.00,9.53,58.14,0.55,1.00,3.41,357.94,1.16,0.00,91745.00
q122000,0.03,224.69,0.00,9.68,58.46,0.57,1.00,3.47,358.47,1.17,0.00,92493.00
q123000,0.03,227.14,0.00,9.72,57.80,0.56,1.00,3.52,362.48,1.18,0.00,93289.00
q124000,0.03,233.22,0.00,9.86,57.87,0.57,1.00,3.58,363.37,1.19,0.00,94060.00
q125000,0.02,238.23,0.00,10.02,57.59,0.58,1.00,3.64,363.25,1.20,0.00,94796.00
q126000,0.02,242.92,0.00,10.12,58.20,0.59,1.00,3.70,365.50,1.21,0.00,95529.00
q127000,0.03,246.48,0.00,10.30,56.14,0.58,1.00,3.76,364.70,1.22,0.00,96277.00
q128000,0.03,251.12,0.00,11.04,57.76,0.64,1.00,3.81,345.49,1.23,0.00,97030.00
