Circuit,Initial time,Schedule time,Transfer time,Simulation time,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000_d100,182.84,113.84,0.00,1460.34,1.00,2384.20,163262.69,90.59,68743.33,6874333.00
q10000_d100,17.82,12.30,0.00,7.63,1.00,23.84,312451.24,9.06,6880.26,688026.00
q1000_d100,1.78,1.28,0.00,0.92,1.00,0.24,25846.57,0.91,687.52,68752.00
q101000_d100,186.87,116.40,0.00,1511.65,1.00,2432.12,160891.39,91.52,69451.50,6945150.00
q102000_d100,184.70,115.40,0.00,1522.11,1.00,2480.52,162965.94,92.41,70128.94,7012894.00
q103000_d100,186.91,116.04,0.00,1554.38,1.00,2529.39,162727.28,93.32,70815.84,7081584.00
q104000_d100,189.27,116.63,0.00,1584.81,1.00,2578.75,162716.11,94.22,71502.26,7150226.00
q105000_d100,193.77,118.96,0.00,1612.36,1.00,2628.58,163026.91,95.13,72191.04,7219104.00
q106000_d100,195.39,122.57,0.00,1636.39,1.00,2678.88,163706.93,96.05,72887.91,7288791.00
q107000_d100,195.08,121.56,0.00,1710.66,1.00,2729.67,159567.67,96.94,73567.47,7356747.00
q108000_d100,202.73,124.24,0.00,1727.46,1.00,2780.93,160983.84,97.85,74259.36,7425936.00
q109000_d100,203.62,125.14,0.00,1775.19,1.00,2832.66,159570.06,98.76,74940.84,7494084.00
q110000_d100,206.13,126.13,0.00,1789.13,1.00,2884.88,161244.44,99.65,75617.19,7561719.00
q11000_d100,20.52,13.79,0.00,8.73,1.00,28.85,330507.22,9.97,7570.38,757038.00
q111000_d100,209.94,128.42,0.00,1836.06,1.00,2937.57,159993.17,100.57,76324.75,7632475.00
q112000_d100,211.97,129.09,0.00,1878.29,1.00,2990.74,159226.55,101.46,76985.28,7698528.00
q113000_d100,216.26,130.56,0.00,1897.32,1.00,3044.38,160456.47,102.38,77694.38,7769438.00
q114000_d100,218.43,132.08,0.00,1905.60,1.00,3098.50,162599.46,103.28,78370.59,7837059.00
q115000_d100,219.26,132.31,0.00,1954.93,1.00,3153.10,161289.78,104.20,79075.55,7907555.00
q116000_d100,220.94,132.95,0.00,1998.25,1.00,3208.17,160549.45,105.10,79752.01,7975201.00
q117000_d100,225.60,135.02,0.00,2047.56,1.00,3263.73,159395.82,106.01,80451.76,8045176.00
q118000_d100,225.54,135.98,0.00,2062.00,1.00,3319.75,160996.65,106.91,81125.03,8112503.00
q119000_d100,228.13,136.51,0.00,2109.20,1.00,3376.26,160072.87,107.81,81815.78,8181578.00
q120000_d100,229.91,136.73,0.00,2132.69,1.00,3433.24,160981.73,108.73,82518.00,8251800.00
q12000_d100,23.00,15.31,0.00,9.02,1.00,34.33,380488.09,10.87,8247.62,824762.00
q121000_d100,230.68,141.42,0.00,2156.35,1.00,3490.70,161880.11,109.61,83170.95,8317095.00
q122000_d100,236.30,141.51,0.00,2180.59,1.00,3548.64,162737.63,110.54,83882.30,8388230.00
q123000_d100,241.55,142.72,0.00,2254.73,1.00,3607.05,159977.11,111.44,84568.87,8456887.00
q124000_d100,238.04,139.83,0.00,2266.99,1.00,3665.94,161709.26,112.34,85251.54,8525154.00
q125000_d100,244.81,145.66,0.00,2326.89,1.00,3725.30,160098.05,113.25,85942.84,8594284.00
q126000_d100,245.20,144.13,0.00,2345.27,1.00,3785.15,161394.80,114.16,86624.73,8662473.00
q127000_d100,249.31,146.68,0.00,2396.56,1.00,3845.47,160458.14,115.06,87311.30,8731130.00
