Circuit,Initial time,Schedule time,Transfer time,Simulation time,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q1000_d100,1.69,1.28,0.62,3.24,1,0.24,7372.32,0.91,687.52,68752
q2000_d100,3.89,2.42,0.59,3.51,1,0.95,27200.38,1.81,1377.5,137750
q3000_d100,5.54,3.52,0.68,4.07,1,2.15,52702.08,2.72,2063.03,206303
q4000_d100,7.42,5.23,0.7,4.44,1,3.81,85959.38,3.62,2751.64,275164
q5000_d100,8.87,5.88,0.73,4.89,1,5.96,122016.86,4.53,3436.79,343679
q6000_d100,10.6,7.13,0.83,5.78,1,8.58,148663.66,5.44,4126.39,412639
q7000_d100,12.29,8.36,0.96,6.64,1,11.68,176001.77,6.34,4815.37,481537
q8000_d100,14.55,10.22,0.9,7.06,1,15.26,215997.58,7.25,5505.71,550571
q9000_d100,16.21,11.37,1.08,9.13,1,19.31,211523.2,8.16,6190.62,619062
q10000_d100,17.33,11.94,1.14,10.35,1,23.84,230344.1,9.06,6880.26,688026
q11000_d100,20.01,13.26,1.41,11.73,1,28.85,245925.28,9.97,7570.38,757038
q12000_d100,22.24,14.51,1.27,11.85,1,34.33,289739.56,10.87,8247.62,824762
q13000_d100,24.9,15.87,1.35,13.18,1,40.29,305765.6,11.78,8943.89,894389
q14000_d100,26.72,16.57,1.46,14.18,1,46.73,329546.92,12.69,9626.1,962610
q15000_d100,28.97,17.56,1.59,16.34,1,53.65,328294.55,13.59,10312.04,1031204
q16000_d100,31.61,19.04,1.77,18.12,1,61.04,336898.44,14.5,11004.7,1100470
q17000_d100,33.58,19.98,1.86,20.34,1,68.91,338836.12,15.4,11688.1,1168810
q18000_d100,35.95,21.29,1.91,36.15,1,77.25,213711.64,16.31,12372.47,1237247
q19000_d100,38.52,22.91,2,52.3,1,86.07,164574.36,17.22,13067.16,1306716
q20000_d100,40.01,23.49,2.08,62.69,1,95.37,152131.22,18.12,13756.51,1375651
q21000_d100,42.01,24.7,2.16,71.48,1,105.14,147091.47,19.03,14437.82,1443782
q22000_d100,43.73,26.06,2.21,77.69,1,115.4,148528.6,19.94,15131.36,1513136
q23000_d100,46.03,27.58,2.26,87.82,1,126.13,143618.35,20.84,15811.54,1581154
q24000_d100,47.82,28.69,2.39,95.71,1,137.33,143485.8,21.74,16497.83,1649783
q25000_d100,49.61,29.86,2.45,102.83,1,149.01,144912.44,22.65,17184.39,1718439
q26000_d100,50.46,30.75,2.52,110.33,1,161.17,146083.13,23.56,17882.7,1788270
q27000_d100,51.97,31.69,2.62,117.79,1,173.81,147564.54,24.46,18563.7,1856370
q28000_d100,54.45,33.14,2.62,124.07,1,186.92,150662.16,25.37,19253.1,1925310
q29000_d100,55.24,34.15,2.8,133.3,1,200.51,150420.02,26.27,19935.12,1993512
q30000_d100,58.62,35.85,2.86,140.67,1,214.58,152541.23,27.18,20628.79,2062879
