Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.06,209.67,0.00,7.59,43.30,0.33,1.00,2384.20,314041.24,0.92,70425.00,70425.00
q101000,0.02,216.76,0.00,7.72,55.36,0.43,1.00,2433.28,315028.72,0.93,71125.00,71125.00
q102000,0.06,221.09,0.00,7.88,55.69,0.44,1.00,2481.30,314707.46,0.94,71829.00,71829.00
q103000,0.02,228.88,0.00,8.05,55.48,0.45,1.00,2529.79,314220.57,0.95,72517.00,72517.00
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.07,215.19,0.00,7.59,42.46,0.32,1.00,2384.20,314206.43,0.92,70425.00,70425.00
q101000,0.02,218.14,0.00,7.70,55.75,0.43,1.00,2433.28,315990.63,0.93,71125.00,71125.00
q102000,0.05,224.10,0.00,7.87,55.98,0.44,1.00,2481.30,315425.87,0.94,71829.00,71829.00
q103000,0.02,228.90,0.00,8.04,55.19,0.44,1.00,2529.79,314651.65,0.95,72517.00,72517.00
q104000,0.02,234.33,0.00,8.17,55.02,0.45,1.00,2578.75,315792.18,0.96,73251.00,73251.00
q105000,0.05,237.23,0.00,8.30,55.12,0.46,1.00,2629.78,316692.65,0.96,73946.00,73946.00
q106000,0.02,242.72,0.00,8.47,55.23,0.47,1.00,2679.69,316206.58,0.97,74661.00,74661.00
q107000,0.02,245.76,0.00,9.81,55.08,0.54,1.00,2730.07,278337.70,0.98,75383.00,75383.00
q108000,0.03,253.55,0.00,8.82,54.83,0.48,1.00,2780.93,315441.84,0.99,76101.00,76101.00
q109000,0.02,258.25,0.00,8.93,55.13,0.49,1.00,2833.91,317240.79,1.00,76814.00,76814.00
q110000,0.05,259.65,0.00,9.06,54.89,0.50,1.00,2885.72,318341.75,1.01,77520.00,77520.00
q111000,0.03,266.75,0.00,9.30,54.12,0.50,1.00,2937.99,316015.09,1.02,78266.00,78266.00
q112000,0.02,272.72,0.00,9.46,53.24,0.50,1.00,2990.74,316179.16,1.03,78954.00,78954.00
q113000,0.02,276.89,0.00,9.60,52.89,0.51,1.00,3045.67,317125.59,1.04,79660.00,79660.00
q114000,0.02,283.04,0.00,9.75,52.98,0.52,1.00,3099.37,317819.60,1.05,80359.00,80359.00
q115000,0.02,286.69,0.00,9.86,51.33,0.51,1.00,3153.54,319750.52,1.06,81067.00,81067.00
q116000,0.02,294.69,0.00,10.06,53.07,0.53,1.00,3208.17,318857.78,1.07,81791.00,81791.00
q117000,0.02,298.53,0.00,10.11,51.16,0.52,1.00,3265.07,322987.62,1.08,82497.00,82497.00
q118000,0.02,302.24,0.00,10.48,52.39,0.55,1.00,3320.66,316735.52,1.08,83200.00,83200.00
q119000,0.02,310.64,0.00,10.45,51.31,0.54,1.00,3376.71,323177.79,1.09,83889.00,83889.00
q120000,0.02,315.63,0.00,10.69,51.33,0.55,1.00,3433.24,321146.83,1.10,84645.00,84645.00
q121000,0.02,323.19,0.00,10.78,51.50,0.56,1.00,3492.09,323908.41,1.11,85351.00,85351.00
q122000,0.02,326.45,0.00,10.95,51.22,0.56,1.00,3549.57,324163.39,1.12,86091.00,86091.00
q123000,0.02,332.06,0.00,10.99,51.56,0.57,1.00,3607.52,328352.21,1.13,86824.00,86824.00
q124000,0.03,339.59,0.00,11.28,51.67,0.58,1.00,3665.94,324965.90,1.14,87519.00,87519.00
q125000,0.02,343.04,0.00,11.35,51.53,0.58,1.00,3726.74,328404.95,1.15,88236.00,88236.00
q126000,0.02,350.96,0.00,11.81,52.05,0.61,1.00,3786.11,320612.28,1.16,88945.00,88945.00
q127000,0.02,353.89,0.00,11.80,51.58,0.61,1.00,3845.95,326024.94,1.17,89660.00,89660.00
q128000,0.02,360.16,0.00,15.41,51.56,0.80,1.00,3906.26,253439.73,1.18,90354.00,90354.00
q129000,0.02,365.61,0.00,13.77,51.79,0.71,1.00,3969.01,288174.18,1.19,91055.00,91055.00
q130000,0.05,371.53,0.00,12.39,51.76,0.64,1.00,4030.28,325245.76,1.20,91791.00,91791.00
q131000,0.02,380.43,0.00,12.44,51.75,0.64,1.00,4092.02,329006.81,1.21,92480.00,92480.00
q132000,0.02,388.25,0.00,12.82,51.82,0.66,1.00,4154.22,324131.61,1.21,93166.00,93166.00
q133000,0.02,394.68,0.00,12.97,51.91,0.67,1.00,4218.92,325246.03,1.22,93874.00,93874.00
q134000,0.02,400.77,0.00,13.23,52.05,0.69,1.00,4282.08,323652.36,1.23,94596.00,94596.00
q135000,0.02,406.55,0.00,13.33,51.91,0.69,1.00,4345.71,326046.44,1.24,95316.00,95316.00
q136000,0.02,413.97,0.00,13.69,51.62,0.71,1.00,4409.81,322202.56,1.25,96044.00,96044.00
q137000,0.02,420.68,0.00,13.80,51.92,0.72,1.00,4476.46,324275.61,1.26,96711.00,96711.00
q138000,0.02,429.27,0.00,14.05,51.79,0.73,1.00,4541.51,323286.31,1.27,97397.00,97397.00
q139000,0.02,438.52,0.00,14.36,51.87,0.75,1.00,4607.03,320746.27,1.28,98111.00,98111.00
q140000,0.03,439.95,0.00,14.54,52.11,0.76,1.00,4673.02,321503.13,1.29,98812.00,98812.00
q141000,0.02,446.33,0.00,14.66,52.42,0.77,1.00,4741.63,323417.95,1.30,99549.00,99549.00
q142000,0.02,452.50,0.00,15.01,51.86,0.78,1.00,4808.57,320454.19,1.31,100291.00,100291.00
q143000,0.02,457.59,0.00,15.08,51.86,0.78,1.00,4875.98,323309.35,1.32,101009.00,101009.00
q144000,0.02,463.28,0.00,15.37,52.61,0.81,1.00,4943.86,321688.22,1.32,101710.00,101710.00
q145000,0.02,474.75,0.00,15.49,52.06,0.81,1.00,5014.43,323804.31,1.33,102418.00,102418.00
q146000,0.02,479.65,0.00,15.60,51.75,0.81,1.00,5083.26,325766.61,1.34,103134.00,103134.00
q147000,0.02,489.23,0.00,15.80,52.23,0.82,1.00,5152.56,326174.36,1.35,103842.00,103842.00
q148000,0.05,489.52,0.00,15.99,51.65,0.83,1.00,5222.34,326683.06,1.36,104540.00,104540.00
q149000,0.02,500.16,0.00,16.20,51.80,0.84,1.00,5294.85,326943.75,1.37,105247.00,105247.00
q150000,0.03,505.25,0.00,18.59,52.71,0.98,1.00,5365.58,288705.22,1.38,105958.00,105958.00
q151000,0.02,515.02,0.00,16.56,51.57,0.85,1.00,5436.78,328238.58,1.39,106659.00,106659.00
q152000,0.02,523.89,0.00,16.86,51.94,0.88,1.00,5508.44,326721.25,1.40,107394.00,107394.00
q153000,0.02,529.43,0.00,17.02,52.16,0.89,1.00,5582.91,327986.23,1.41,108096.00,108096.00
q154000,0.03,536.30,0.00,17.20,52.20,0.90,1.00,5655.53,328745.09,1.42,108809.00,108809.00
q155000,0.05,548.83,0.00,17.50,51.55,0.90,1.00,5728.62,327347.59,1.43,109515.00,109515.00
q156000,0.02,551.65,0.00,17.90,51.17,0.92,1.00,5802.17,324107.68,1.44,110230.00,110230.00
q157000,0.02,560.04,0.00,18.12,50.78,0.92,1.00,5878.60,324399.30,1.45,110921.00,110921.00
q158000,0.03,570.13,0.00,18.31,51.02,0.93,1.00,5953.11,325128.91,1.45,111613.00,111613.00
q159000,0.02,576.31,0.00,18.56,50.72,0.94,1.00,6028.09,324710.89,1.46,112322.00,112322.00
q160000,0.02,582.93,0.00,18.93,50.09,0.95,1.00,6103.53,322452.12,1.47,113047.00,113047.00
q161000,0.02,596.65,0.00,19.26,50.97,0.98,1.00,6181.91,320954.82,1.48,113756.00,113756.00
q162000,0.02,598.94,0.00,19.07,50.27,0.96,1.00,6258.31,328132.88,1.49,114471.00,114471.00
q163000,0.02,611.78,0.00,19.42,49.86,0.97,1.00,6335.18,326152.50,1.50,115167.00,115167.00
q164000,0.02,610.31,0.00,19.59,50.03,0.98,1.00,6412.53,327395.97,1.51,115865.00,115865.00
q165000,0.02,625.44,0.00,19.94,49.86,0.99,1.00,6492.85,325562.45,1.52,116580.00,116580.00
q166000,0.03,633.68,0.00,19.98,49.43,0.99,1.00,6571.15,328903.11,1.53,117319.00,117319.00
q167000,0.02,638.88,0.00,20.46,49.54,1.01,1.00,6649.91,324973.47,1.54,117993.00,117993.00
q168000,0.02,652.83,0.00,20.54,49.47,1.02,1.00,6729.15,327555.98,1.55,118705.00,118705.00
q169000,0.02,652.69,0.00,20.93,49.31,1.03,1.00,6811.43,325493.19,1.56,119417.00,119417.00
q170000,0.05,662.33,0.00,20.89,49.19,1.03,1.00,6891.61,329939.80,1.56,120112.00,120112.00
q171000,0.02,671.43,0.00,28.14,49.72,1.40,1.00,6972.27,247793.38,1.57,120814.00,120814.00
q172000,0.02,686.01,0.00,21.37,49.05,1.05,1.00,7053.40,330076.31,1.58,121526.00,121526.00
q173000,0.05,697.11,0.00,22.07,48.63,1.07,1.00,7137.63,323394.14,1.59,122236.00,122236.00
q174000,0.02,701.40,0.00,21.84,48.39,1.06,1.00,7219.71,330504.86,1.60,122943.00,122943.00
q175000,0.02,707.73,0.00,22.32,48.32,1.08,1.00,7302.26,327220.78,1.61,123664.00,123664.00
q176000,0.02,716.94,0.00,22.32,48.27,1.08,1.00,7385.27,330933.39,1.62,124373.00,124373.00
q177000,0.02,722.08,0.00,22.86,48.66,1.11,1.00,7471.46,326865.08,1.63,125071.00,125071.00
