Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.02,207.31,0.00,6.54,31.83,0.21,1.00,2.33,356.32,0.92,0.00,70425.00
q101000,0.03,213.27,0.00,6.64,52.83,0.35,1.00,2.38,358.15,0.93,0.00,71125.00
q102000,0.02,214.89,0.00,6.71,53.73,0.36,1.00,2.42,361.34,0.94,0.00,71829.00
q103000,0.02,223.27,0.00,6.83,53.32,0.36,1.00,2.47,362.15,0.95,0.00,72517.00
q104000,0.03,227.59,0.00,6.99,53.37,0.37,1.00,2.52,360.25,0.96,0.00,73251.00
q105000,0.03,235.86,0.00,7.12,53.11,0.38,1.00,2.57,360.64,0.96,0.00,73946.00
q106000,0.03,241.06,0.00,7.24,53.17,0.38,1.00,2.62,361.74,0.97,0.00,74661.00
q107000,0.03,245.42,0.00,7.89,52.76,0.42,1.00,2.67,337.99,0.98,0.00,75383.00
q108000,0.03,250.46,0.00,8.06,52.86,0.43,1.00,2.72,337.25,0.99,0.00,76101.00
q109000,0.02,254.42,0.00,8.17,52.66,0.43,1.00,2.77,338.77,1.00,0.00,76814.00
q110000,0.03,254.84,0.00,7.71,52.53,0.41,1.00,2.82,365.40,1.01,0.00,77520.00
q111000,0.02,262.57,0.00,7.83,52.82,0.41,1.00,2.87,366.83,1.02,0.00,78266.00
q112000,0.03,268.58,0.00,7.94,52.81,0.42,1.00,2.92,367.98,1.03,0.00,78954.00
q113000,0.02,270.58,0.00,8.05,52.66,0.42,1.00,2.97,369.25,1.04,0.00,79660.00
q114000,0.03,275.75,0.00,8.19,51.52,0.42,1.00,3.03,369.73,1.05,0.00,80359.00
q115000,0.02,281.17,0.00,8.38,51.38,0.43,1.00,3.08,367.39,1.06,0.00,81067.00
q116000,0.03,286.55,0.00,8.54,51.19,0.44,1.00,3.13,366.93,1.07,0.00,81791.00
q117000,0.02,291.95,0.00,8.63,52.56,0.45,1.00,3.19,369.74,1.08,0.00,82497.00
q118000,0.02,296.97,0.00,8.67,49.72,0.43,1.00,3.24,374.08,1.08,0.00,83200.00
q119000,0.06,303.22,0.00,8.81,50.39,0.44,1.00,3.30,374.59,1.09,0.00,83889.00
q120000,0.02,307.58,0.00,9.12,49.58,0.45,1.00,3.35,367.83,1.10,0.00,84645.00
q121000,0.03,313.14,0.00,9.25,49.42,0.46,1.00,3.41,368.52,1.11,0.00,85351.00
q122000,0.03,319.35,0.00,9.37,49.62,0.46,1.00,3.47,370.18,1.12,0.00,86091.00
q123000,0.05,324.44,0.00,9.40,49.47,0.47,1.00,3.52,374.62,1.13,0.00,86824.00
q124000,0.03,322.26,0.00,9.59,49.59,0.48,1.00,3.58,373.58,1.14,0.00,87519.00
q125000,0.02,339.70,0.00,9.79,49.88,0.49,1.00,3.64,371.80,1.15,0.00,88236.00
q126000,0.03,342.97,0.00,10.08,49.77,0.50,1.00,3.70,366.80,1.16,0.00,88945.00
q127000,0.05,348.67,0.00,10.28,49.75,0.51,1.00,3.76,365.54,1.17,0.00,89660.00
q128000,0.02,354.51,0.00,11.20,49.79,0.56,1.00,3.81,340.72,1.18,0.00,90354.00
q129000,0.02,360.73,0.00,13.14,49.62,0.65,1.00,3.88,294.98,1.19,0.00,91055.00
q130000,0.03,366.84,0.00,11.61,49.92,0.58,1.00,3.94,339.29,1.20,0.00,91791.00
q131000,0.02,372.93,0.00,10.89,49.83,0.54,1.00,4.00,366.80,1.21,0.00,92480.00
q132000,0.03,378.89,0.00,11.12,50.14,0.56,1.00,4.06,365.13,1.21,0.00,93166.00
q133000,0.05,384.75,0.00,11.30,50.07,0.57,1.00,4.12,364.77,1.22,0.00,93874.00
q134000,0.05,390.50,0.00,11.30,49.89,0.56,1.00,4.18,370.01,1.23,0.00,94596.00
q135000,0.02,397.02,0.00,11.52,49.72,0.57,1.00,4.25,368.55,1.24,0.00,95316.00
q136000,0.02,402.24,0.00,11.80,50.03,0.59,1.00,4.31,364.83,1.25,0.00,96044.00
q137000,0.02,410.80,0.00,12.04,50.13,0.60,1.00,4.37,363.10,1.26,0.00,96711.00
q138000,0.03,418.33,0.00,12.19,50.02,0.61,1.00,4.44,364.01,1.27,0.00,97397.00
q139000,0.02,423.31,0.00,12.54,49.90,0.63,1.00,4.50,358.72,1.28,0.00,98111.00
q140000,0.02,430.24,0.00,12.71,49.72,0.63,1.00,4.57,359.27,1.29,0.00,98812.00
q141000,0.03,436.32,0.00,12.97,50.27,0.65,1.00,4.63,357.10,1.30,0.00,99549.00
q142000,0.02,440.62,0.00,12.96,50.09,0.65,1.00,4.70,362.35,1.31,0.00,100291.00
q143000,0.02,447.41,0.00,13.04,50.05,0.65,1.00,4.76,365.41,1.32,0.00,101009.00
q144000,0.02,454.11,0.00,13.25,50.88,0.67,1.00,4.83,364.47,1.32,0.00,101710.00
q145000,0.02,461.68,0.00,13.38,50.10,0.67,1.00,4.90,365.97,1.33,0.00,102418.00
q146000,0.03,468.08,0.00,13.57,50.18,0.68,1.00,4.97,366.06,1.34,0.00,103134.00
q147000,0.02,476.29,0.00,13.79,50.24,0.69,1.00,5.03,364.80,1.35,0.00,103842.00
q148000,0.05,481.81,0.00,14.00,50.34,0.70,1.00,5.10,364.37,1.36,0.00,104540.00
q149000,0.02,489.93,0.00,14.23,50.98,0.72,1.00,5.17,363.64,1.37,0.00,105247.00
q150000,0.03,497.38,0.00,15.70,50.77,0.80,1.00,5.24,333.68,1.38,0.00,105958.00
q151000,0.02,504.19,0.00,15.95,50.63,0.81,1.00,5.31,333.11,1.39,0.00,106659.00
q152000,0.02,509.97,0.00,14.79,50.88,0.75,1.00,5.38,363.72,1.40,0.00,107394.00
q153000,0.03,518.30,0.00,14.98,50.59,0.76,1.00,5.45,363.92,1.41,0.00,108096.00
q154000,0.02,525.64,0.00,15.21,50.48,0.77,1.00,5.53,363.24,1.42,0.00,108809.00
q155000,0.05,534.35,0.00,15.34,50.67,0.78,1.00,5.59,364.80,1.43,0.00,109515.00
q156000,0.02,538.77,0.00,15.43,49.88,0.77,1.00,5.67,367.32,1.44,0.00,110230.00
