Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.03,200.95,0.00,6.53,45.37,0.30,1.00,2.33,357.06,0.93,0.00,71211.00
q101000,0.02,205.11,0.00,6.65,57.45,0.38,1.00,2.38,357.37,0.93,0.00,71943.00
q102000,0.02,208.93,0.00,6.71,57.50,0.39,1.00,2.42,361.12,0.94,0.00,72661.00
q103000,0.02,213.14,0.00,6.82,57.42,0.39,1.00,2.47,362.26,0.95,0.00,73387.00
q104000,0.02,214.60,0.00,6.97,57.85,0.40,1.00,2.52,361.20,0.96,0.00,74098.00
q105000,0.02,219.48,0.00,7.09,57.24,0.41,1.00,2.57,362.04,0.97,0.00,74797.00
q106000,0.02,230.82,0.00,7.22,57.94,0.42,1.00,2.62,362.47,0.98,0.00,75489.00
q107000,0.02,232.25,0.00,7.93,57.75,0.46,1.00,2.67,336.34,0.99,0.00,76226.00
q108000,0.02,234.25,0.00,8.07,58.01,0.47,1.00,2.72,336.85,1.00,0.00,76949.00
q109000,0.03,237.77,0.00,8.20,57.90,0.47,1.00,2.77,337.80,1.01,0.00,77683.00
q110000,0.05,239.76,0.00,7.71,57.23,0.44,1.00,2.82,365.39,1.02,0.00,78420.00
q111000,0.02,245.03,0.00,7.83,57.41,0.45,1.00,2.87,366.48,1.03,0.00,79120.00
q112000,0.02,254.36,0.00,7.95,57.50,0.46,1.00,2.92,367.54,1.04,0.00,79844.00
q113000,0.02,256.65,0.00,8.10,57.16,0.46,1.00,2.97,367.40,1.05,0.00,80574.00
q114000,0.02,261.20,0.00,8.19,56.84,0.47,1.00,3.03,369.59,1.05,0.00,81296.00
q115000,0.02,268.43,0.00,8.33,56.99,0.47,1.00,3.08,369.75,1.06,0.00,81973.00
q116000,0.02,274.28,0.00,8.86,57.11,0.51,1.00,3.13,353.65,1.07,0.00,82674.00
q117000,0.02,277.07,0.00,8.97,57.02,0.51,1.00,3.19,355.60,1.08,0.00,83390.00
q118000,0.02,284.34,0.00,9.02,55.41,0.50,1.00,3.24,359.48,1.09,0.00,84105.00
q119000,0.02,298.85,0.00,9.15,55.11,0.50,1.00,3.30,360.55,1.10,0.00,84802.00
q120000,0.02,294.60,0.00,9.40,55.31,0.52,1.00,3.35,356.70,1.11,0.00,85513.00
q121000,0.02,299.14,0.00,9.55,55.13,0.53,1.00,3.41,357.17,1.12,0.00,86219.00
q122000,0.02,304.79,0.00,9.64,56.44,0.54,1.00,3.47,359.89,1.13,0.00,86908.00
q123000,0.02,315.38,0.00,9.77,55.14,0.54,1.00,3.52,360.52,1.14,0.00,87615.00
q124000,0.02,317.51,0.00,9.94,55.45,0.55,1.00,3.58,360.53,1.15,0.00,88337.00
q125000,0.08,324.05,0.00,10.13,53.91,0.55,1.00,3.64,359.62,1.16,0.00,89043.00
q126000,0.02,323.84,0.00,10.25,53.67,0.55,1.00,3.70,360.63,1.17,0.00,89771.00
