Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.06,215.17,0.00,5.94,41.69,0.25,1.00,2385.72,401535.68,0.92,70425.00,70425.00
q101000,0.06,217.36,0.00,6.07,54.81,0.33,1.00,2434.82,401355.39,0.93,71125.00,71125.00
q102000,0.03,221.74,0.00,6.16,54.78,0.34,1.00,2481.30,402546.71,0.94,71829.00,71829.00
q103000,0.06,227.99,0.00,6.26,54.50,0.34,1.00,2531.36,404050.51,0.95,72517.00,72517.00
q104000,0.06,231.26,0.00,6.38,54.94,0.35,1.00,2578.75,404509.70,0.96,73251.00,73251.00
q105000,0.03,237.45,0.00,6.47,54.64,0.35,1.00,2629.78,406300.66,0.96,73946.00,73946.00
q106000,0.06,243.59,0.00,6.62,54.85,0.36,1.00,2681.31,405277.43,0.97,74661.00,74661.00
q107000,0.03,256.57,0.00,6.63,54.39,0.36,1.00,2730.07,411962.55,0.98,75383.00,75383.00
q108000,0.03,251.79,0.00,6.74,54.56,0.37,1.00,2782.57,412969.09,0.99,76101.00,76101.00
q109000,0.03,256.15,0.00,6.85,54.43,0.37,1.00,2835.58,413893.27,1.00,76814.00,76814.00
q110000,0.02,261.97,0.00,7.00,54.30,0.38,1.00,2885.72,412401.50,1.01,77520.00,77520.00
q111000,0.03,264.54,0.00,7.15,53.61,0.38,1.00,2939.69,411173.90,1.02,78266.00,78266.00
q112000,0.03,269.52,0.00,7.26,54.37,0.39,1.00,2990.74,412119.41,1.03,78954.00,78954.00
q113000,0.02,274.51,0.00,7.39,53.73,0.40,1.00,3045.67,411943.17,1.04,79660.00,79660.00
q114000,0.05,281.05,0.00,7.49,53.67,0.40,1.00,3101.11,413812.62,1.05,80359.00,80359.00
q115000,0.02,286.98,0.00,7.65,52.50,0.40,1.00,3153.54,412149.65,1.06,81067.00,81067.00
q116000,0.03,293.38,0.00,7.74,50.89,0.39,1.00,3209.94,414508.29,1.07,81791.00,81791.00
q117000,0.03,297.44,0.00,7.94,52.48,0.42,1.00,3266.85,411442.17,1.08,82497.00,82497.00
q118000,0.03,303.48,0.00,8.10,50.86,0.41,1.00,3320.66,409932.14,1.08,83200.00,83200.00
q119000,0.03,310.30,0.00,8.24,52.35,0.43,1.00,3378.53,409891.58,1.09,83889.00,83889.00
q120000,0.03,313.04,0.00,8.28,51.13,0.42,1.00,3433.24,414718.21,1.10,84645.00,84645.00
q121000,0.03,319.79,0.00,8.41,51.13,0.43,1.00,3492.09,415304.24,1.11,85351.00,85351.00
q122000,0.03,325.41,0.00,8.54,51.00,0.44,1.00,3551.43,415763.18,1.12,86091.00,86091.00
q123000,0.02,330.63,0.00,8.64,51.01,0.44,1.00,3607.52,417756.81,1.13,86824.00,86824.00
q124000,0.03,337.22,0.00,8.80,50.99,0.45,1.00,3667.83,416823.39,1.14,87519.00,87519.00
q125000,0.03,341.26,0.00,9.00,51.11,0.46,1.00,3728.64,414477.99,1.15,88236.00,88236.00
q126000,0.05,349.05,0.00,9.13,51.57,0.47,1.00,3786.11,414734.74,1.16,88945.00,88945.00
q127000,0.03,354.62,0.00,9.34,51.03,0.48,1.00,3847.89,411935.79,1.17,89660.00,89660.00
q128000,0.02,360.10,0.00,10.14,51.19,0.52,1.00,3906.26,385409.03,1.18,90354.00,90354.00
