Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000,0.05,170.34,0.00,6.70,58.28,0.39,1.00,2.33,347.69,0.94,0.00,73711.00
q101000,0.03,173.55,0.00,6.87,58.16,0.40,1.00,2.38,346.18,0.95,0.00,74455.00
q102000,0.04,176.81,0.00,6.97,58.43,0.41,1.00,2.42,347.47,0.96,0.00,75198.00
q103000,0.03,179.80,0.00,7.15,58.04,0.41,1.00,2.47,345.64,0.97,0.00,75909.00
q104000,0.02,184.28,0.00,7.29,58.31,0.42,1.00,2.52,345.52,0.98,0.00,76633.00
q105000,0.03,189.38,0.00,7.41,58.05,0.43,1.00,2.57,346.76,0.99,0.00,77379.00
q106000,0.03,190.23,0.00,7.60,58.38,0.44,1.00,2.62,344.60,1.00,0.00,78139.00
q107000,0.03,195.94,0.00,7.58,58.06,0.44,1.00,2.67,351.56,1.01,0.00,78882.00
q108000,0.03,201.42,0.00,7.71,58.23,0.45,1.00,2.72,352.54,1.02,0.00,79653.00
q109000,0.03,201.69,0.00,7.86,58.12,0.46,1.00,2.77,352.42,1.03,0.00,80405.00
q110000,0.03,204.21,0.00,8.10,58.23,0.47,1.00,2.82,347.76,1.04,0.00,81176.00
q111000,0.05,208.91,0.00,8.23,58.27,0.48,1.00,2.87,348.81,1.05,0.00,81918.00
q112000,0.03,212.69,0.00,8.38,58.10,0.49,1.00,2.92,348.57,1.06,0.00,82661.00
q113000,0.02,218.93,0.00,8.53,57.90,0.49,1.00,2.97,348.52,1.07,0.00,83406.00
q114000,0.06,222.57,0.00,8.70,57.55,0.50,1.00,3.03,348.24,1.08,0.00,84137.00
q115000,0.03,229.34,0.00,8.84,57.93,0.51,1.00,3.08,348.20,1.09,0.00,84841.00
q116000,0.03,233.85,0.00,8.66,57.45,0.50,1.00,3.13,362.04,1.09,0.00,85565.00
q117000,0.05,238.41,0.00,8.78,57.47,0.50,1.00,3.19,363.52,1.10,0.00,86318.00
q118000,0.02,243.26,0.00,8.79,57.90,0.51,1.00,3.24,368.71,1.11,0.00,87044.00
q119000,0.03,244.29,0.00,8.93,57.90,0.52,1.00,3.30,369.30,1.12,0.00,87771.00
q120000,0.03,251.94,0.00,9.19,56.25,0.52,1.00,3.35,364.89,1.13,0.00,88476.00
q121000,0.03,258.67,0.00,9.35,57.69,0.54,1.00,3.41,364.87,1.14,0.00,89195.00
q122000,0.03,263.42,0.00,9.49,57.44,0.55,1.00,3.47,365.46,1.15,0.00,89930.00
q123000,0.06,268.11,0.00,9.51,57.41,0.55,1.00,3.52,370.45,1.16,0.00,90665.00
q124000,0.03,266.15,0.00,9.68,55.64,0.54,1.00,3.58,370.14,1.17,0.00,91403.00
q125000,0.03,270.84,0.00,9.86,57.25,0.56,1.00,3.64,369.22,1.18,0.00,92147.00
q126000,0.03,274.93,0.00,9.96,57.46,0.57,1.00,3.70,371.33,1.19,0.00,92906.00
q127000,0.03,283.07,0.00,10.12,55.72,0.56,1.00,3.76,371.19,1.20,0.00,93619.00
q128000,0.03,285.31,0.00,10.87,55.70,0.61,1.00,3.81,350.88,1.21,0.00,94318.00
