Circuit,Initial time,Schedule time,Transfer time,Simulation time,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q1000_d100,1.73,1.22,0,1.76,1,0.24,13543.97,0.91,687.52,68752
q2000_d100,3.89,2.42,0,2.18,1,0.95,43732.66,1.81,1377.5,137750
q3000_d100,5.64,3.56,0,2.74,1,2.15,78387.94,2.72,2063.03,206303
q4000_d100,7.62,5.01,0,3.02,1,3.81,126372.91,3.62,2751.64,275164
q5000_d100,8.88,5.89,0,3.64,1,5.96,163711.54,4.53,3436.79,343679
q6000_d100,10.61,7.12,0,4.51,1,8.58,190447.53,5.44,4126.39,412639
q7000_d100,12.13,8.37,0,5.24,1,11.68,223022.62,6.34,4815.37,481537
q8000_d100,14.4,9.79,0,5.56,1,15.26,274439.84,7.25,5505.71,550571
q9000_d100,16.18,11.41,0,7.62,1,19.31,253290.66,8.16,6190.62,619062
q10000_d100,17.26,11.59,0,8.79,1,23.84,271217.5,9.06,6880.26,688026
q11000_d100,20.23,14.03,0,9.92,1,28.85,290707.21,9.97,7570.38,757038
q12000_d100,22.34,14.81,0,10.27,1,34.33,334180.76,10.87,8247.62,824762
q13000_d100,24.53,16,0,11.54,1,40.29,349307.43,11.78,8943.89,894389
q14000_d100,26.63,16.56,0,12.44,1,46.73,375525.68,12.69,9626.1,962610
q15000_d100,29.16,18.08,0,14.5,1,53.65,370049.64,13.59,10312.04,1031204
q16000_d100,31.64,19.01,0,16.1,1,61.04,379131.41,14.5,11004.7,1100470
q17000_d100,34.23,20.22,0,18.35,1,68.91,375430.91,15.4,11688.1,1168810
q18000_d100,36.17,21.29,0,34.16,1,77.25,226157.04,16.31,12372.47,1237247
q19000_d100,38.65,22.53,0,50.23,1,86.07,171355.9,17.22,13067.16,1306716
q20000_d100,39.98,23.72,0,60.64,1,95.37,157281.66,18.12,13756.51,1375651
q21000_d100,41.72,24.7,0,69.37,1,105.14,151568.4,19.03,14437.82,1443782
q22000_d100,44.77,26.24,0,75.54,1,115.4,152757.02,19.94,15131.36,1513136
q23000_d100,46.07,27.64,0,85.6,1,126.13,147335.44,20.84,15811.54,1581154
q24000_d100,47.98,30.12,0,93.48,1,137.33,146914.62,21.74,16497.83,1649783
q25000_d100,50.32,30.28,0,100.58,1,149.01,148156.19,22.65,17184.39,1718439
q26000_d100,50.86,30.95,0,108,1,161.17,149230.29,23.56,17882.7,1788270
q27000_d100,52.56,31.8,0,115.37,1,173.81,150651.11,24.46,18563.7,1856370
q28000_d100,54.62,33.14,0,121.67,1,186.92,153627.81,25.37,19253.1,1925310
q29000_d100,55.49,34.16,0,130.82,1,200.51,153269.66,26.27,19935.12,1993512
q30000_d100,58.49,36.19,0,138.15,1,214.58,155325.31,27.18,20628.79,2062879
q31000_d100,60.01,37,0,149.05,1,229.12,153727.86,28.08,21310.37,2131037
q32000_d100,60.29,36.18,0,149.54,1,244.14,163261.47,28.99,21992.54,2199254
q33000_d100,63.6,37.6,0,168.51,1,259.64,154083.88,29.91,22696.47,2269647
q34000_d100,64.88,39.03,0,177.15,1,275.62,155584.96,30.8,23376.52,2337652
q35000_d100,65.88,39.35,0,188.04,1,292.07,155323.03,31.71,24064.4,2406440
q36000_d100,67.41,42.95,0,196.05,1,309,157612.77,32.61,24747.71,2474771
