Circuit,Initial time,Schedule time,Simulation time,Energy consumption,Circuits check,Failed state,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average parallel gates,Clifford gates
q100000_d100,341.98,227.31,2377.24,541.94, EQUIVALENT,0.00,1.00,4.66,392.02,90.59,68743.33,6874333.00
q10000_d100,33.73,24.61,11.62,0.83, EQUIVALENT,0.00,1.00,0.05,809.27,9.06,6880.26,688026.00
q1000_d100,3.31,2.40,2.15,0.12, NOT EQUIVALENT, 0,1.00,0.00,22.68,0.91,687.52,68752.00
q101000_d100,346.96,228.67,1206.68,251.64, NOT EQUIVALENT, 0,1.00,4.76,394.10,91.52,69451.50,6945150.00
q102000_d100,348.39,231.61,2461.20,563.96, EQUIVALENT,0.00,1.00,4.85,393.81,92.41,70128.94,7012894.00
q103000_d100,355.30,236.09,1256.49,264.85, NOT EQUIVALENT, 0,1.00,4.94,393.48,93.32,70815.84,7081584.00
q104000_d100,364.24,239.68,1268.00,265.47, NOT EQUIVALENT, 0,1.00,5.04,397.21,94.22,71502.26,7150226.00
q105000_d100,369.03,242.95,1291.62,273.22, NOT EQUIVALENT, 0,1.00,5.14,397.66,95.13,72191.04,7219104.00
q106000_d100,371.77,247.62,2629.21,606.55, EQUIVALENT,0.00,1.00,5.24,398.37,96.05,72887.91,7288791.00
q107000_d100,377.86,247.97,1336.81,284.18, NOT EQUIVALENT, 0,1.00,5.33,398.87,96.94,73567.47,7356747.00
q108000_d100,378.54,250.84,1361.52,293.46, NOT EQUIVALENT, 0,1.00,5.43,399.16,97.85,74259.36,7425936.00
q109000_d100,388.70,253.12,1387.13,298.28, NOT EQUIVALENT, 0,1.00,5.54,399.26,98.76,74940.84,7494084.00
q110000_d100,388.97,253.17,2831.31,654.99, EQUIVALENT,0.00,1.00,5.64,398.13,99.65,75617.19,7561719.00
q11000_d100,38.35,27.31,12.46,0.90, EQUIVALENT,0.00,1.00,0.06,906.03,9.97,7570.38,757038.00
q111000_d100,393.32,250.23,1445.38,315.13, NOT EQUIVALENT, 0,1.00,5.74,397.24,100.57,76324.75,7632475.00
q112000_d100,401.41,287.11,1476.41,321.75, NOT EQUIVALENT, 0,1.00,5.84,395.64,101.46,76985.28,7698528.00
q113000_d100,406.15,258.34,1504.78,326.41, NOT EQUIVALENT, 0,1.00,5.95,395.31,102.38,77694.38,7769438.00
