Circuit,Initial time,Schedule time,Transfer time,Simulation time,Power consumption,Energy consumption,Tableau partitions,Tableau memory,Tableau step speed,Circuit memory,Average of parallel gates,Clifford gates
q100000_d100,171.59,116.72,0.00,626.07,131.68,82.44,1.00,2.33,372.13,90.59,0.00,6874333.00
q10000_d100,16.52,12.15,0.00,4.72,76.44,0.36,1.00,0.02,497.58,9.06,0.00,688026.00
q1000_d100,1.61,1.19,0.00,1.88,54.73,0.10,1.00,0.00,12.97,0.91,0.00,68752.00
q101000_d100,177.68,117.90,0.00,637.96,133.08,84.90,1.00,2.38,372.71,91.52,0.00,6945150.00
q102000_d100,177.01,117.72,0.00,651.57,108.86,70.94,1.00,2.42,371.90,92.41,0.00,7012894.00
q103000_d100,181.03,119.82,0.00,665.17,131.60,87.54,1.00,2.47,371.64,93.32,0.00,7081584.00
q104000_d100,181.93,121.30,0.00,677.48,134.45,91.09,1.00,2.52,371.72,94.22,0.00,7150226.00
q105000_d100,183.57,120.83,0.00,690.21,111.49,76.95,1.00,2.57,372.08,95.13,0.00,7219104.00
q106000_d100,189.47,124.23,0.00,702.12,135.30,95.00,1.00,2.62,372.94,96.05,0.00,7288791.00
q107000_d100,191.79,128.09,0.00,711.40,132.10,93.97,1.00,2.67,374.77,96.94,0.00,7356747.00
q108000_d100,195.41,128.59,0.00,722.20,135.31,97.72,1.00,2.72,376.26,97.85,0.00,7425936.00
q109000_d100,194.83,127.89,0.00,736.79,141.47,104.23,1.00,2.77,375.84,98.76,0.00,7494084.00
q110000_d100,198.99,129.03,0.00,756.24,146.77,110.99,1.00,2.82,372.64,99.65,0.00,7561719.00
q11000_d100,19.31,12.99,0.00,4.88,77.48,0.38,1.00,0.03,578.17,9.97,0.00,757038.00
q111000_d100,199.10,131.35,0.00,770.15,149.35,115.03,1.00,2.87,372.75,100.57,0.00,7632475.00
q112000_d100,204.02,130.88,0.00,783.81,147.00,115.22,1.00,2.92,372.62,101.46,0.00,7698528.00
q113000_d100,206.72,132.44,0.00,797.42,148.73,118.60,1.00,2.97,372.99,102.38,0.00,7769438.00
q114000_d100,206.51,131.54,0.00,810.59,151.97,123.19,1.00,3.03,373.61,103.28,0.00,7837059.00
q115000_d100,211.41,135.37,0.00,823.31,155.55,128.07,1.00,3.08,374.05,104.20,0.00,7907555.00
q116000_d100,210.59,133.31,0.00,814.31,148.35,120.81,1.00,3.13,384.96,105.10,0.00,7975201.00
q117000_d100,216.90,137.13,0.00,825.82,150.08,123.94,1.00,3.19,386.32,106.01,0.00,8045176.00
q118000_d100,218.87,138.23,0.00,835.65,150.17,125.49,1.00,3.24,388.06,106.91,0.00,8112503.00
q119000_d100,222.95,139.57,0.00,847.62,147.80,125.28,1.00,3.30,389.25,107.81,0.00,8181578.00
q120000_d100,223.10,139.92,0.00,862.50,152.84,131.82,1.00,3.35,388.73,108.73,0.00,8251800.00
q12000_d100,21.86,14.22,0.00,5.09,75.35,0.38,1.00,0.03,662.61,10.87,0.00,824762.00
