Circuit, Time (sec), Energy (joules)
log_q100000_d100,55.87,4712.89005
log_q10000_d100,0.67,52.0988
log_q1000_d100,0.01,.794998
log_q101000_d100,56.15,4737.94785
log_q102000_d100,57.42,4850.89855
log_q103000_d100,58.28,4919.87665
log_q104000_d100,59.78,5049.6332
log_q105000_d100,60.73,5127.73405
log_q106000_d100,61.79,5213.6704
log_q107000_d100,62.89,5307.40235
log_q108000_d100,64.18,5420.80065
log_q109000_d100,65.20,5507.5264
log_q110000_d100,66.63,5627.71155
log_q11000_d100,0.73,60.71265
log_q111000_d100,67.87,5731.3474
log_q112000_d100,69.75,5885.8099
log_q113000_d100,71.13,6006.947
log_q114000_d100,71.39,6024.05705
log_q115000_d100,72.82,6146.00195
log_q116000_d100,73.63,6215.41505
log_q117000_d100,75.66,6386.347
log_q118000_d100,77.18,6519.0667
log_q119000_d100,77.80,6569.11515
log_q120000_d100,79.42,6705.4217
log_q12000_d100,1.16,95.36085
log_q121000_d100,80.41,6792.8184
log_q122000_d100,82.40,6957.0931
log_q123000_d100,83.41,7043.47355
log_q124000_d100,84.62,7146.23395
log_q125000_d100,85.95,7258.52575
log_q126000_d100,87.65,7404.205
log_q127000_d100,88.49,7474.30505
log_q128000_d100,90.08,7604.09855
log_q129000_d100,91.46,7723.59645
log_q130000_d100,93.06,7855.4065
log_q13000_d100,1.27,103.85015
log_q131000_d100,94.22,7958.49125
log_q132000_d100,95.61,8078.51845
log_q133000_d100,97.23,8215.50755
log_q134000_d100,100.22,8466.83085
log_q135000_d100,100.09,8457.63995
log_q136000_d100,101.42,8569.1588
log_q137000_d100,103.32,8725.74135
log_q138000_d100,104.67,8837.2562
log_q139000_d100,107.18,9053.607
log_q140000_d100,107.43,9070.15375
log_q14000_d100,1.41,112.50085
log_q141000_d100,108.78,9185.27315
log_q142000_d100,110.94,9374.5163
log_q143000_d100,112.48,9501.58965
log_q144000_d100,113.58,9588.70985
log_q145000_d100,115.46,9751.92
log_q146000_d100,116.72,9854.56815
log_q147000_d100,118.28,9992.72855
log_q148000_d100,119.61,10105.4034
log_q149000_d100,121.47,10260.30565
log_q150000_d100,123.08,10399.02355
log_q15000_d100,1.98,164.4165
log_q151000_d100,124.75,10534.866
log_q152000_d100,126.16,10656.8574
log_q153000_d100,128.08,10815.37045
log_q154000_d100,129.54,10940.75185
log_q155000_d100,130.95,11062.6077
log_q156000_d100,132.87,11225.45905
log_q157000_d100,134.48,11355.54155
log_q158000_d100,136.61,11537.53285
log_q159000_d100,137.73,11635.2153
log_q160000_d100,140.02,11830.17065
log_q16000_d100,2.07,173.0724
log_q161000_d100,141.16,11925.50465
log_q162000_d100,142.80,12062.8951
log_q163000_d100,145.14,12262.26345
log_q164000_d100,147.12,12426.05215
log_q165000_d100,149.37,12617.6671
log_q166000_d100,149.53,12632.0588
log_q167000_d100,151.89,12830.55445
log_q168000_d100,153.69,12978.2628
log_q169000_d100,155.29,13115.3391
log_q170000_d100,158.03,13350.9388
log_q17000_d100,2.20,181.67195
log_q171000_d100,158.96,13425.05805
log_q172000_d100,161.06,13601.09805
log_q173000_d100,162.65,13737.16755
log_q174000_d100,164.16,13867.21525
log_q175000_d100,166.42,14056.2484
log_q176000_d100,167.90,14184.32935
log_q177000_d100,170.95,14443.5817
log_q178000_d100,172.34,14556.03165
log_q179000_d100,173.94,14695.7619
log_q180000_d100,176.60,14920.1992
log_q18000_d100,2.59,216.24275
log_q181000_d100,178.68,15090.3125
log_q182000_d100,179.35,15149.44905
log_q183000_d100,181.87,15367.3487
log_q184000_d100,184.51,15583.0822
log_q185000_d100,186.26,15731.83495
log_q186000_d100,187.51,15842.97415
log_q187000_d100,189.73,16031.13115
log_q188000_d100,191.45,16169.8018
log_q189000_d100,193.54,16352.9874
log_q190000_d100,195.91,16549.55765
log_q19000_d100,2.85,233.6609
log_q191000_d100,197.98,16722.99445
log_q192000_d100,200.38,16929.4842
log_q193000_d100,201.92,17058.4789
log_q194000_d100,203.77,17212.0905
log_q195000_d100,205.82,17390.81805
log_q196000_d100,208.17,17581.8937
log_q197000_d100,210.90,17817.05295
log_q198000_d100,212.70,17964.6993
log_q199000_d100,214.57,18127.08155
log_q200000_d100,216.14,18263.23855
log_q20000_d100,3.06,250.87295
log_q2000_d100,0.03,2.384994
log_q201000_d100,218.70,18479.51705
log_q202000_d100,220.17,18599.4068
log_q203000_d100,222.85,18828.804
log_q204000_d100,225.83,19076.0302
log_q205000_d100,227.40,19209.0829
log_q206000_d100,229.82,19414.0637
log_q207000_d100,232.27,19618.34155
log_q208000_d100,234.17,19784.0223
log_q209000_d100,236.55,19981.92155
log_q210000_d100,238.94,20183.8437
log_q21000_d100,3.12,259.4671
log_q211000_d100,240.82,20343.46075
log_q212000_d100,243.37,20562.32595
log_q213000_d100,244.80,20679.1
log_q214000_d100,246.70,20843.6066
log_q215000_d100,249.77,21105.1324
log_q216000_d100,251.61,21260.22675
log_q217000_d100,254.44,21492.09255
log_q218000_d100,257.44,21746.8406
log_q219000_d100,258.65,21854.08865
log_q220000_d100,262.50,22173.3478
log_q22000_d100,3.34,276.6856
log_q221000_d100,263.70,22277.49965
log_q222000_d100,266.68,22532.93945
log_q223000_d100,268.44,22681.7282
log_q224000_d100,270.98,22895.76245
log_q225000_d100,272.83,23049.7784
log_q226000_d100,275.60,23285.0916
log_q227000_d100,278.23,23509.9656
log_q228000_d100,279.56,23621.3348
log_q229000_d100,282.67,23879.81665
log_q230000_d100,286.75,24222.3459
log_q23000_d100,3.60,302.61765
